Prize ID,Prize Name,Prize Description,Unit Value,Quantity,Drawn Quantity,Remaining Quantity,Total Value,Status
P001,₱500 Cash Prize,Teachers Day 2026 Cash Incentive Envelope,500,10,0,10,5000,AVAILABLE
P002,₱1,000 Cash Prize,Educator Cash Grant Envelope,1000,6,0,6,6000,AVAILABLE
P003,Oscillating Stand Fan (16"),16-inch high-velocity oscillating stand fan,1500,5,0,5,7500,AVAILABLE
P004,Automatic Rice Cooker (1.8L),Multi-function electric non-stick rice cooker,1800,4,0,4,7200,AVAILABLE
P005,₱2,000 Cash Prize,Executive educator cash prize,2000,3,0,3,6000,AVAILABLE
P006,Countertop Microwave Oven (20L),Digital microwave oven,3600,2,0,2,7200,AVAILABLE
P007,₱5,000 Grand Cash Prize,Municipal Teachers Day Grand Cash Bonanza,5000,2,0,2,10000,AVAILABLE
P008,43" Smart Full HD LED TV,Smart Google TV with Dolby Audio,14500,1,0,1,14500,AVAILABLE
P009,Inverter Washing Machine (7.5kg),Top-load energy-saving inverter washing machine,13800,1,0,1,13800,AVAILABLE
P010,Educator Laptop (Core i5 / 16GB),Teacher digital classroom laptop workstation,28500,1,0,1,28500,AVAILABLE
